Date,Open,High,Low,Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
2010-06-10,4999.6,5085.2,4997.6,5078.6,5053.8,5110.0,5022.400000000001,5141.4,4966.200000000001,5197.599999999999,4934.800000000001,5253.799999999999,4903.400000000003,5310.0,4872.000000000002
2010-06-11,5078.75,5139.05,5078.75,5119.35,5112.383333333333,5146.016666666666,5085.716666666666,5172.683333333333,5052.083333333333,5206.316666666667,5025.416666666666,5239.949999999999,4998.749999999998,5273.583333333332,4972.083333333332
2010-06-14,5120.15,5201.25,5120.15,5197.7,5173.033333333333,5225.916666666666,5144.816666666666,5254.133333333333,5091.9333333333325,5307.016666666666,5063.716666666665,5359.9,5035.499999999998,5412.783333333333,5007.283333333331
2010-06-15,5201.3,5231.45,5171.05,5222.35,5208.283333333334,5245.516666666667,5185.116666666668,5268.683333333333,5147.883333333334,5305.916666666667,5124.716666666668,5343.1500000000015,5101.550000000003,5380.383333333335,5078.383333333335
2010-06-16,5225.05,5255.65,5214.9,5233.35,5234.633333333333,5254.366666666667,5213.616666666667,5275.383333333333,5193.883333333333,5295.116666666667,5172.866666666667,5314.85,5151.85,5334.583333333334,5130.833333333334
2010-06-17,5233.65,5285.55,5206.55,5274.85,5255.650000000001,5304.750000000001,5225.750000000001,5334.650000000001,5176.650000000001,5383.750000000001,5146.750000000001,5432.8499999999985,5116.8499999999985,5481.950000000001,5086.950000000001
2010-06-18,5274.95,5302.3,5245.5,5262.6,5270.133333333333,5294.766666666666,5237.966666666666,5326.933333333333,5213.333333333333,5351.566666666667,5181.166666666666,5376.199999999999,5148.999999999998,5400.833333333332,5116.833333333332
2010-06-21,5266.5,5366.75,5266.5,5353.3,5328.849999999999,5391.199999999999,5290.949999999999,5429.099999999999,5228.599999999999,5491.449999999999,5190.699999999999,5553.799999999999,5152.799999999999,5616.149999999998,5114.899999999998
2010-06-22,5353.95,5354.35,5311.05,5316.55,5327.316666666667,5343.583333333333,5300.283333333333,5370.616666666667,5284.016666666666,5386.883333333333,5256.983333333333,5403.15,5229.950000000001,5419.416666666666,5202.916666666664
2010-06-23,5316.15,5333.3,5288.15,5323.15,5314.866666666667,5341.583333333334,5296.433333333333,5360.016666666667,5269.716666666666,5386.7333333333345,5251.283333333333,5413.450000000003,5232.8499999999985,5440.166666666668,5214.416666666666
2010-06-24,5323.25,5348.3,5284.55,5320.6,5317.816666666667,5351.083333333333,5287.333333333333,5381.566666666667,5254.066666666667,5414.833333333333,5223.583333333333,5448.0999999999985,5193.0999999999985,5481.366666666665,5162.616666666665
2010-06-25,5320.5,5320.5,5259.9,5269.05,5283.150000000001,5306.4000000000015,5245.800000000001,5343.750000000001,5222.55,5367.000000000002,5185.200000000001,5390.250000000002,5147.85,5413.500000000004,5110.500000000002
2010-06-28,5271.1,5339.45,5270.75,5333.5,5314.566666666667,5358.383333333333,5289.683333333333,5383.266666666666,5245.866666666667,5427.083333333333,5220.983333333334,5470.9000000000015,5196.100000000002,5514.716666666667,5171.216666666667
2010-06-29,5333.55,5334.15,5235.8,5256.15,5275.366666666667,5314.933333333333,5216.583333333334,5373.716666666666,5177.016666666667,5413.283333333333,5118.2333333333345,5452.8499999999985,5059.450000000003,5492.416666666666,5000.666666666668
2010-06-30,5254.25,5320.35,5210.0,5312.5,5280.95,5351.9,5241.549999999999,5391.3,5170.599999999999,5462.25,5131.199999999999,5533.199999999999,5091.799999999997,5604.15,5052.399999999998
2010-07-01,5312.05,5312.55,5232.1,5251.4,5265.35,5298.6,5218.150000000001,5345.8,5184.900000000001,5379.05,5137.700000000001,5412.300000000001,5090.5,5445.549999999999,5043.300000000001
